step4,step5,year,price,Folder 
Fiat,60-90,1988,20468,1
Case IH,844,1989,21228,2
Massey Ferguson ,399,1993,22463,3
John Deere,6300,1994,24466,4
Ford,7840,1995,26638,5
Massey Ferguson ,6150,1996,27065,6
John Deere,7700,1996,31756,7
Case IH,MX110,2001,28625,8
John Deere,6610,1999,30411,9
New Holland,TS115,2003,32866,10
Massey Ferguson ,5455,2005,34673,11
Claas,Ares 557,2007,41039,12
Deutz-Fahr,Agroplus 95,2007,38754,13
John Deere,6430,2009,39252,14
John Deere,7430 Premium,2009,50714,15
New Holland,T6070,2010,45872,16
JCB,Fastrac 2155,2011,44115,17
Deutz-Fahr,M640,2012,54133,18
John Deere,7530,2012,64828,19
New Holland,T7.200,2013,65408,20
Valtra,N143,2014,63311,21
Case IH,105C,2016,66120,22
Massey Ferguson ,7618,2013,64090,23
John Deere,6330,2010,45437,24
Valtra,T162,2011,46420,25
Fendt,308 LSA,1994,25485,26
Fendt,412 Vario,2006,46420,27
John Deere,6125R,2012,63540,28
